,30117,118427,147901,170613,219289,219668,220350,238827,280160,331905,337513,343575,364022,377597,444374,448792,450979,467021,479522,546405,552150,571396,602515,649009,668938,703601,716575,785318,785363,791640,817408,829461,838673,881966,912858,924891,926195,952473
0,2,1,0,1,1,1,0,0,2,2,0,0,-1,0,1,1,0,0,0,1,0,-2,0,1,2,-1,-1,-1,2,1,0,-1,0,0,1,1,1,-1
1,-1,-1,-2,1,0,-2,0,0,1,0,-1,1,-1,-1,-1,-2,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-2,-1,-1,-1,-1,1,2,1,0,0
2,-1,-1,-1,0,0,-1,1,1,0,-1,-1,0,0,1,0,1,1,1,0,1,-1,-1,-1,0,-1,0,0,-2,-1,0,0,-1,-1,-1,2,0,-1,-1
3,1,0,0,0,0,-1,1,0,-1,-1,1,-1,0,-1,1,0,1,2,-1,0,0,-1,-1,1,1,1,1,0,2,-1,0,-1,0,1,1,1,0,-1
4,-2,-1,-2,2,-2,-1,0,0,0,1,-1,0,0,-2,-1,-1,-1,-1,1,1,1,0,-1,-1,-1,0,1,-1,-1,-1,1,-1,0,2,1,1,-1,1
5,0,1,2,-1,-1,0,0,-1,-1,-1,1,0,0,2,2,1,1,1,-1,0,-1,-1,0,0,2,0,1,2,2,0,1,-1,0,2,-2,-1,0,-2
6,1,-1,0,0,-1,0,2,1,-2,1,0,2,0,-1,0,-2,-1,-1,0,0,1,0,1,1,-2,0,1,-1,1,-2,1,0,1,1,-2,1,1,2
7,-2,-1,-2,-1,-1,-2,-1,0,1,-1,-1,-1,-1,-1,1,-2,0,0,0,0,-1,0,-1,1,-1,0,-1,-1,-1,0,-1,-2,-1,1,-2,0,-2,1
8,0,1,0,-1,-1,0,1,1,-1,1,-1,-1,1,0,-1,-2,-1,0,1,1,-1,0,2,1,1,0,-1,0,1,1,2,1,-1,0,0,1,0,0
9,1,-1,-2,1,-1,-1,1,0,1,0,0,-1,1,0,1,0,-1,0,-1,-1,1,-1,0,-1,-1,0,-1,1,0,0,1,-2,-1,1,1,1,0,-1
10,1,0,0,-2,1,0,0,-1,1,1,-1,0,2,2,1,-1,1,0,1,1,2,1,0,-1,0,0,2,-1,1,0,2,-1,0,1,2,0,1,2
11,-1,0,-1,-1,0,-1,1,1,2,0,0,1,0,0,-1,-1,0,0,-1,-2,0,-1,0,-1,1,0,1,-2,-1,1,0,-1,0,1,-1,-1,0,-1
12,-1,0,-1,1,0,-2,1,0,-1,-1,-1,0,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,0,-2,0,-2,-1,2,1,0,1
13,-1,-1,-2,-1,-1,0,0,0,1,-2,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,0,2,-1,0,-2,-1,-1,0,1,-1,-1,0
14,-1,-1,-1,1,0,-1,1,0,2,0,-1,0,0,-1,-1,-1,0,0,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-2,-1,0,-1,2,-1,-1,1
15,-1,2,0,0,1,-1,1,2,1,2,1,1,1,1,2,1,1,0,-2,1,2,0,1,1,1,0,-1,2,1,0,2,-1,1,1,1,-1,1,-1
16,0,1,-1,2,2,0,2,1,0,0,1,0,1,1,1,-1,0,0,1,2,1,-1,1,1,0,1,-1,0,0,1,1,1,0,0,2,1,0,0
17,1,-1,0,0,0,0,1,0,-2,0,0,0,0,-1,1,-1,1,0,-1,0,1,0,0,1,1,0,-2,-1,1,1,0,1,-1,0,1,0,-1,-1
18,1,1,1,2,1,0,0,-1,0,2,0,0,1,0,2,1,1,0,-1,1,1,0,-1,-1,1,1,1,0,1,1,1,0,0,-1,1,1,1,-1
19,0,-1,-1,1,-1,-1,1,0,0,0,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-2,0,1,-2,-1,0,-1,-1,-1,-1,1,-1,0,1
20,1,1,-1,1,0,-1,1,0,0,1,0,0,0,0,0,-1,1,0,0,0,2,0,0,-1,0,0,-1,1,0,0,1,-1,0,0,1,-1,-1,1
21,-1,2,0,-1,1,1,1,2,1,2,1,-1,0,1,-1,1,1,0,-2,1,1,1,1,0,0,0,-1,1,0,0,0,1,-1,2,2,1,1,1
22,1,-1,-1,1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,0,1,1,-1,0,2,-1,-1,2,0,-1,-1,-1,0,0,-1,0,-1,-1,0,0,0,0
23,-1,-1,-2,-1,-1,-1,0,0,0,-2,-1,1,-1,0,1,-1,-1,-1,1,-1,0,0,0,-2,-1,0,-1,-2,-1,-2,1,-2,-2,-1,2,0,-1,-1
24,-2,-1,-2,0,-1,-1,-2,-1,-1,-1,1,1,1,-2,1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,2,-1,-2,-1,0
25,-2,1,-1,1,1,-1,0,-1,0,-1,-1,-1,0,-2,-2,1,-1,-2,1,0,1,-1,0,0,-2,-1,-2,1,-1,-1,2,0,-1,2,0,-1,-1,-1
26,-2,-1,-1,0,-2,0,0,-1,0,-2,0,-1,-1,-2,-2,0,-2,0,0,0,-2,0,0,-1,-1,-1,-1,-1,-2,-2,-1,-2,-2,-2,-1,-1,0,-2
27,0,2,1,2,0,1,1,1,0,2,-1,1,0,0,1,-1,1,2,0,1,1,-1,0,0,0,1,-1,1,0,-1,1,1,0,0,1,1,-1,2
28,-2,0,0,-1,-1,-1,0,0,-1,0,1,-1,-2,-1,-1,1,-1,1,0,0,-1,0,-1,-2,1,-1,-1,2,-2,-1,-1,-1,0,-1,-1,-1,-1,-1
29,1,1,0,0,-1,0,1,0,0,1,0,0,-1,1,-1,1,2,0,0,-1,-2,-1,0,1,1,1,1,-1,1,1,1,0,1,0,1,-1,-1,-1
30,1,0,-1,-1,-1,0,0,-1,1,-1,-1,-1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,-2,1,0,0,1,-1,-1,1,1,-1,-1,0
31,-2,-1,-1,-2,-1,-2,0,-1,0,-2,-1,1,-1,-2,-1,1,-2,0,2,1,-2,0,1,0,0,-1,1,1,1,1,0,1,-2,1,-2,-2,-1,1
32,-2,-1,-2,-2,-2,-1,-1,-1,0,1,-2,1,-2,-1,-2,-1,-2,-2,0,-1,0,0,-2,-1,-1,-1,-2,2,2,-2,1,-1,1,1,-2,-2,0,-2
33,-1,-1,1,1,-2,0,1,-2,1,-1,-1,-1,2,-2,1,0,-2,-1,1,0,-1,0,-1,1,0,-1,1,-1,-2,0,-1,-2,-2,1,-1,1,-1,-1
34,1,0,1,1,-1,0,0,1,0,0,1,0,0,0,-1,0,1,2,0,1,0,0,0,1,1,1,1,-1,1,1,-1,0,-1,-1,-2,-1,0,-2
35,0,1,0,1,-1,1,1,0,-1,1,-1,-1,0,-1,2,1,2,1,-1,0,0,-2,-1,1,1,0,0,1,2,0,1,0,-1,0,-2,-1,-1,-2
36,-1,2,2,-1,-1,0,1,1,-1,1,0,1,1,1,1,0,1,2,-1,1,0,-1,0,1,1,-1,1,2,2,-1,2,0,0,1,-2,-1,0,-1
37,1,0,-1,0,1,-1,2,0,2,-2,0,0,0,-2,1,-2,0,0,0,1,0,0,0,-1,0,1,-1,-1,0,-1,1,-1,-1,0,1,-1,0,-1
38,-1,0,-1,-1,0,-1,1,0,-1,0,0,0,-1,0,-1,1,-1,0,0,-1,0,-1,-1,0,-1,-2,-1,-2,0,-1,0,0,0,0,0,1,-1,-1
39,-1,1,-1,-1,-2,1,1,0,0,1,0,1,-1,2,1,1,-1,-1,0,1,-1,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,2,-1,1,0
40,0,-2,-1,-2,-1,-1,1,-1,1,-2,-1,-1,1,-1,-2,-1,-1,-1,-1,1,-1,0,0,0,-2,0,0,-2,0,1,0,0,-2,1,-1,-1,-1,1
41,-1,-1,-1,0,-2,-1,0,-1,1,-1,0,-1,2,1,-1,0,1,0,1,1,0,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-2,-1
42,-1,0,0,-1,-1,-1,-1,0,2,-2,0,2,-1,-1,-1,1,1,-1,1,0,1,0,1,-1,-1,1,-1,1,-1,-1,0,-1,0,1,-2,-1,-2,1
43,0,0,-2,1,0,-1,-1,1,1,0,-1,1,-1,-1,2,-1,0,0,0,-1,0,1,-1,-1,-1,0,-2,-1,-1,0,-1,0,-1,0,1,-1,0,-1
44,1,1,1,0,0,1,-1,0,0,1,0,0,0,-1,0,0,1,0,0,1,-1,-1,0,1,2,-1,-1,-1,0,0,0,1,0,1,1,1,0,1
45,-1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,0,-2,-1,-1,-1,0,0,-1,0,-1,1,-1,0,-1,1,1,-1,-1,1,-1,-2,-1,1,-2,0,-1
46,0,0,0,0,0,0,-1,1,1,1,0,0,1,1,-1,0,0,0,-1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2,-1,1,-1,-1
47,2,1,0,1,1,1,1,0,1,2,0,0,0,-1,2,1,0,0,1,1,1,0,0,1,0,1,-2,0,1,2,1,0,0,0,1,-1,0,0
48,2,2,0,1,0,1,2,1,0,2,-1,-1,-1,0,2,0,1,1,-1,1,2,1,0,2,1,1,-1,2,1,1,1,0,1,1,-1,1,0,0
49,-1,-1,1,-1,-1,0,-2,-1,0,-2,-1,0,0,-2,-1,0,0,-1,-2,0,-1,-1,0,-1,0,0,1,1,0,-2,-1,0,-2,1,-1,-1,-1,0
